year,month,a0,a1,a2,a3
1989,3,0,1,0,0
1989,6,0,1,0,0
1989,9,0.025974,0.852814,0.121212,0
1989,12,0.387097,0.612903,0,0
1990,3,0,0.96648,0.0335196,0
1990,6,0,1,0,0
1990,9,0.327751,0.552632,0.119617,0
1990,12,0.80914,0.19086,0,0
1991,3,0,1,0,0
1991,6,0,0.951557,0.0484429,0
1991,9,0.246445,0.696682,0.056872,0
1991,12,0.469512,0.432927,0.097561,0
1992,3,0,0.8375,0.125,0.0375
1992,6,0,1,0,0
1992,9,0.0681818,0.909091,0.0227273,0
1992,12,0,0.725,0.275,0
1993,3,0,0.884298,0.115702,0
1993,6,0,0.936578,0.0634218,0
1993,9,0.397129,0.602871,0,0
1993,12,0.424528,0.559748,0.0157233,0
1994,3,0,0.999927,7.33333e-05,0
1994,6,0,0.999422,0.000577778,0
1994,9,0.298545,0.448445,0.25301,0
1994,12,0.370366,0.507387,0.122246,0
1995,3,0,0.893678,0.106322,0
1995,6,0,1,0,0
1995,9,0.337215,0.662785,0,0
1995,12,0.699629,0.300371,0,0
1996,3,0,0.89726,0.10274,0
1996,6,0,0.89726,0.10274,0
1996,9,0.146199,0.748538,0.105263,0
1996,12,0.85214,0.128405,0.0194553,0
1997,3,0,0.552764,0.447236,0
1997,6,0,0.716599,0.283401,0
1997,9,0.228571,0.593651,0.177778,0
1997,12,0.450262,0.47644,0.0732984,0
1998,3,0,0.76699,0.23301,0
1998,6,0,0.96788,0.0321199,0
1998,9,0.130045,0.831839,0.0381166,0
1998,12,0.586375,0.413625,0,0
1999,3,0,0.893411,0.106589,0
1999,6,0,0.850602,0.149398,0
1999,9,0.256,0.682,0.062,0
1999,12,0.431818,0.443182,0.125,0
2000,3,0,0.978723,0.0212766,0
2000,6,0,0.915663,0.0843373,0
2000,9,0.198646,0.765237,0.0361174,0
2000,12,0.566225,0.42053,0.013245,0
2001,3,0,0.898026,0.101974,0
2001,6,0,0.938953,0.0610465,0
2001,9,0.140762,0.818182,0.0410557,0
2001,12,0.525886,0.435967,0.0381471,0
2002,3,0,0.670623,0.30366,0.0257171
2002,6,0,0.843478,0.156522,0
2002,9,0.0276498,0.767281,0.205069,0
2002,12,0.451754,0.453947,0.0942982,0
2003,3,0,0.747182,0.252818,0
2003,6,0,0.94832,0.0516796,0
2003,9,0.444934,0.537445,0.0176211,0
2003,12,0.724638,0.275362,0,0
2004,3,0,0.963801,0.0361991,0
2004,6,0,0.966262,0.0337382,0
2004,9,0.314917,0.676796,0.00828729,0
2004,12,0.762097,0.221774,0.016129,0
2005,3,0,0.949091,0.0509091,0
2005,6,0,0.884615,0.114447,0.000938086
2005,9,0.407407,0.575758,0.016835,0
2005,12,0.736,0.252,0.012,0
2006,3,0,0.947826,0.0521739,0
2006,6,0,0.96543,0.03457,0
2006,9,0.0526316,0.947368,0,0
2006,12,0.5,0.5,0,0
2007,3,0,0.957672,0.042328,0
2007,6,0,0.967136,0.0328638,0
2007,9,0.0371901,0.946281,0.0165289,0
2007,12,0.546618,0.447898,0.00548446,0
2008,3,0,0.609121,0.374593,0.0162866
2008,6,0,0.700166,0.295681,0.00415282
2008,9,0.324228,0.553444,0.122328,0
2008,12,0.601215,0.338057,0.0607287,0
2009,3,0,0.68559,0.222707,0.0917031
2009,6,0,0.838196,0.145889,0.0159151
2009,9,0.0157233,0.915094,0.0440252,0.0251572
2009,12,0.211957,0.706522,0.076087,0.00543478
2010,3,0,0.754717,0.245283,0
2010,6,0,0.906494,0.0909091,0.0025974
2010,9,0.412662,0.501907,0.0755149,0.00991609
2010,12,0.790323,0.209677,0,0
2011,3,0,0.957576,0.0424242,0
2011,6,0,0.997984,0.00201613,0
2011,9,0.623274,0.364892,0.0118343,0
2011,12,0.801932,0.193237,0.00483092,0
2012,3,0,0.960606,0.0393939,0
2012,6,0,0.96223,0.0377698,0
2012,9,0.116972,0.830275,0.0527523,0
2012,12,0.950904,0.0465116,0.00258398,0
2013,3,0,0.908333,0.0916667,0
2013,6,0,0.947541,0.052459,0
2013,9,0.0650943,0.857547,0.0773585,0
2013,12,0.463636,0.533333,0.0030303,0
2014,3,0,0.980328,0.0196721,0
2014,6,0,0.980477,0.0195228,0
2014,9,0.0669185,0.886131,0.0469509,0
2014,12,0.613636,0.346591,0.0397727,0
2015,3,0,0.963636,0.0363636,0
2015,6,0,0.984906,0.0150943,0
2015,9,0.502187,0.465015,0.0327988,0
2015,12,0.842346,0.131072,0.0265811,0
2016,3,0,0.958065,0.0419355,0
2016,6,0,0.974409,0.0255906,0
2016,9,0.251093,0.683323,0.065584,0
2016,12,0.511006,0.454403,0.0345912,0
2017,3,0,0.977918,0.022082,0
2017,6,0,0.969555,0.030445,0
2017,9,0.403361,0.435682,0.160957,0
2017,12,0.568966,0.393417,0.0376176,0
2018,3,0,0.893939,0.106061,0
2018,6,0,0.988,0.012,0
2018,9,0.241267,0.714054,0.0446791,0
2018,12,0.411821,0.530029,0.0581506,0
2019,3,0,0.910714,0.0892857,0
2019,6,0,0.98,0.02,0
2019,9,0.397163,0.538121,0.0647163,0
2019,12,0.518482,0.300699,0.180819,0
2020,3,0,0.56129,0.32043,0.11828
2020,6,0,0.56129,0.32043,0.11828
2020,9,0.450425,0.511048,0.0379603,0.000566572
2020,12,0.488491,0.478261,0.0319693,0.00127877
2021,3,0,0.887006,0.112994,0
2021,6,0,0.984127,0.015873,0
2021,9,0.259259,0.655556,0.0851852,0
2021,12,0.528158,0.395738,0.0761035,0
2022,3,0,0.826667,0.173333,0
2022,6,0,0.933333,0.0666667,0
2022,9,0.285036,0.672209,0.0427553,0
2022,12,0.739011,0.228022,0.032967,0
